2025-09-25 14:34:41 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:34:44 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:34:44 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:34:54 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:34:54 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:34:57 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:34:57 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:35:11 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:35:11 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:35:14 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:35:14 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:35:28 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:35:28 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:35:31 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:35:31 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:35:40 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:35:40 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:35:43 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:35:43 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:35:57 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:35:57 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:36:00 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:36:00 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:36:09 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:36:09 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:36:12 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:36:12 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
